budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,fineweb_edu,3407,role_depth_v3,4.80,950,31129600,116.892,25.216
100000000,fineweb_edu,3407,role_depth_v3,4.60,1200,39321600,96.079,25.216
100000000,fineweb_edu,3407,role_depth_v3,4.40,1550,50790400,80.663,25.216
100000000,fineweb_edu,3407,role_depth_v3,4.30,1850,60620800,73.092,25.216
100000000,fineweb_edu,3407,role_depth_v3,4.20,2250,73728000,66.391,25.216
100000000,fineweb_edu,3407,role_depth_v3,4.10,,,,25.216
100000000,fineweb_edu,3407,role_depth_v4,4.80,900,29491200,120.291,21.469
100000000,fineweb_edu,3407,role_depth_v4,4.60,1150,37683200,98.162,21.469
100000000,fineweb_edu,3407,role_depth_v4,4.40,1500,49152000,81.345,21.469
100000000,fineweb_edu,3407,role_depth_v4,4.30,1850,60620800,72.491,21.469
100000000,fineweb_edu,3407,role_depth_v4,4.20,2200,72089600,66.625,21.469
100000000,fineweb_edu,3407,role_depth_v4,4.10,3000,98304000,60.318,21.469
100000000,fineweb,1337,full,5.00,900,29491200,145.605,22.435
100000000,fineweb,1337,full,4.80,1150,37683200,121.160,22.435
100000000,fineweb,1337,full,4.60,1550,50790400,98.652,22.435
100000000,fineweb,1337,full,4.50,1850,60620800,89.170,22.435
100000000,fineweb,1337,full,4.40,2250,73728000,81.072,22.435
100000000,fineweb,1337,full,4.35,2550,83558400,77.234,22.435
100000000,fineweb,1337,no_role_depth,5.00,950,31129600,142.489,21.440
100000000,fineweb,1337,no_role_depth,4.80,1200,39321600,118.617,21.440
100000000,fineweb,1337,no_role_depth,4.60,1600,52428800,98.010,21.440
100000000,fineweb,1337,no_role_depth,4.50,1900,62259200,89.070,21.440
100000000,fineweb,1337,no_role_depth,4.40,2300,75366400,81.356,21.440
100000000,fineweb,1337,no_role_depth,4.35,2650,86835200,77.332,21.440
100000000,fineweb,1337,role_depth_v2,5.00,900,29491200,145.777,24.864
100000000,fineweb,1337,role_depth_v2,4.80,1200,39321600,117.848,24.864
100000000,fineweb,1337,role_depth_v2,4.60,1550,50790400,98.880,24.864
100000000,fineweb,1337,role_depth_v2,4.50,1850,60620800,89.297,24.864
100000000,fineweb,1337,role_depth_v2,4.40,2250,73728000,81.097,24.864
100000000,fineweb,1337,role_depth_v2,4.35,2550,83558400,77.246,24.864
100000000,fineweb,1337,role_depth_v3,5.00,950,31129600,141.968,25.182
100000000,fineweb,1337,role_depth_v3,4.80,1200,39321600,118.844,25.182
100000000,fineweb,1337,role_depth_v3,4.60,1600,52428800,97.861,25.182
100000000,fineweb,1337,role_depth_v3,4.50,1900,62259200,89.120,25.182
100000000,fineweb,1337,role_depth_v3,4.40,2300,75366400,81.354,25.182
100000000,fineweb,1337,role_depth_v3,4.35,2650,86835200,77.235,25.182
100000000,fineweb,1337,role_depth_v4,5.00,900,29491200,147.257,26.301
100000000,fineweb,1337,role_depth_v4,4.80,1150,37683200,121.104,26.301
100000000,fineweb,1337,role_depth_v4,4.60,1550,50790400,98.891,26.301
100000000,fineweb,1337,role_depth_v4,4.50,1850,60620800,89.215,26.301
100000000,fineweb,1337,role_depth_v4,4.40,2250,73728000,81.209,26.301
100000000,fineweb,1337,role_depth_v4,4.35,2550,83558400,77.371,26.301
100000000,fineweb,2027,full,5.00,950,31129600,145.112,27.847
100000000,fineweb,2027,full,4.80,1200,39321600,120.727,27.847
100000000,fineweb,2027,full,4.60,1600,52428800,99.418,27.847
100000000,fineweb,2027,full,4.50,1950,63897600,89.205,27.847
100000000,fineweb,2027,full,4.40,2400,78643200,80.797,27.847
100000000,fineweb,2027,full,4.35,2750,90112000,77.183,27.847
100000000,fineweb,2027,no_role_depth,5.00,1000,32768000,143.514,23.559
100000000,fineweb,2027,no_role_depth,4.80,1250,40960000,120.308,23.559
100000000,fineweb,2027,no_role_depth,4.60,1700,55705600,97.870,23.559
100000000,fineweb,2027,no_role_depth,4.50,2000,65536000,89.584,23.559
100000000,fineweb,2027,no_role_depth,4.40,2500,81920000,81.080,23.559
100000000,fineweb,2027,no_role_depth,4.35,3000,98304000,77.264,23.559
100000000,fineweb,2027,role_depth_v2,5.00,950,31129600,145.766,21.601
100000000,fineweb,2027,role_depth_v2,4.80,1250,40960000,117.978,21.601
100000000,fineweb,2027,role_depth_v2,4.60,1650,54067200,97.912,21.601
100000000,fineweb,2027,role_depth_v2,4.50,1950,63897600,89.410,21.601
100000000,fineweb,2027,role_depth_v2,4.40,2400,78643200,80.840,21.601
100000000,fineweb,2027,role_depth_v2,4.35,2750,90112000,77.233,21.601
100000000,fineweb,2027,role_depth_v3,5.00,950,31129600,148.105,25.692
100000000,fineweb,2027,role_depth_v3,4.80,1250,40960000,119.147,25.692
100000000,fineweb,2027,role_depth_v3,4.60,1650,54067200,99.040,25.692
100000000,fineweb,2027,role_depth_v3,4.50,2000,65536000,89.150,25.692
100000000,fineweb,2027,role_depth_v3,4.40,2450,80281600,81.190,25.692
100000000,fineweb,2027,role_depth_v3,4.35,2900,95027200,77.321,25.692
100000000,fineweb,2027,role_depth_v4,5.00,950,31129600,146.167,24.979
100000000,fineweb,2027,role_depth_v4,4.80,1200,39321600,120.879,24.979
100000000,fineweb,2027,role_depth_v4,4.60,1650,54067200,97.761,24.979
100000000,fineweb,2027,role_depth_v4,4.50,1950,63897600,89.369,24.979
100000000,fineweb,2027,role_depth_v4,4.40,2400,78643200,80.933,24.979
100000000,fineweb,2027,role_depth_v4,4.35,2750,90112000,77.347,24.979
100000000,fineweb,3407,full,5.00,950,31129600,144.447,22.461
100000000,fineweb,3407,full,4.80,1200,39321600,120.821,22.461
100000000,fineweb,3407,full,4.60,1600,52428800,99.107,22.461
100000000,fineweb,3407,full,4.50,1900,62259200,89.980,22.461
100000000,fineweb,3407,full,4.40,2350,77004800,81.314,22.461
100000000,fineweb,3407,full,4.35,2700,88473600,77.461,22.461
100000000,fineweb,3407,no_role_depth,5.00,950,31129600,147.330,23.666
100000000,fineweb,3407,no_role_depth,4.80,1250,40960000,118.876,23.666
100000000,fineweb,3407,no_role_depth,4.60,1650,54067200,98.573,23.666
100000000,fineweb,3407,no_role_depth,4.50,2000,65536000,88.655,23.666
100000000,fineweb,3407,no_role_depth,4.40,2450,80281600,81.296,23.666
100000000,fineweb,3407,no_role_depth,4.35,2900,95027200,77.153,23.666
100000000,fineweb,3407,role_depth_v2,5.00,950,31129600,144.389,20.703
100000000,fineweb,3407,role_depth_v2,4.80,1200,39321600,120.716,20.703
100000000,fineweb,3407,role_depth_v2,4.60,1600,52428800,99.016,20.703
100000000,fineweb,3407,role_depth_v2,4.50,1900,62259200,89.849,20.703
100000000,fineweb,3407,role_depth_v2,4.40,2350,77004800,81.268,20.703
100000000,fineweb,3407,role_depth_v2,4.35,2700,88473600,77.353,20.703
100000000,fineweb,3407,role_depth_v3,5.00,950,31129600,146.716,20.272
100000000,fineweb,3407,role_depth_v3,4.80,1250,40960000,118.187,20.272
100000000,fineweb,3407,role_depth_v3,4.60,1650,54067200,98.412,20.272
100000000,fineweb,3407,role_depth_v3,4.50,1950,63897600,89.866,20.272
100000000,fineweb,3407,role_depth_v3,4.40,2450,80281600,81.254,20.272
100000000,fineweb,3407,role_depth_v3,4.35,2900,95027200,77.249,20.272
100000000,fineweb,3407,role_depth_v4,5.00,950,31129600,144.105,20.764
100000000,fineweb,3407,role_depth_v4,4.80,1200,39321600,120.128,20.764
100000000,fineweb,3407,role_depth_v4,4.60,1600,52428800,98.886,20.764
100000000,fineweb,3407,role_depth_v4,4.50,1900,62259200,89.868,20.764
100000000,fineweb,3407,role_depth_v4,4.40,2350,77004800,81.400,20.764
100000000,fineweb,3407,role_depth_v4,4.35,2750,90112000,77.354,20.764
100000000,dolma_sample,1337,full,5.00,1000,32768000,145.106,24.401
100000000,dolma_sample,1337,full,4.80,1250,40960000,119.592,24.401
100000000,dolma_sample,1337,full,4.60,1650,54067200,98.260,24.401
100000000,dolma_sample,1337,full,4.50,1950,63897600,88.771,24.401
100000000,dolma_sample,1337,full,4.40,2350,77004800,81.374,24.401
100000000,dolma_sample,1337,full,4.35,2750,90112000,77.049,24.401
