model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,fineweb,100000000,3050,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.475840666666667,0.009656000017260706,0,,,,0,,,1458.2871343457955,318.95709010683805,0.4606986394368436,74033.59793552135,complete
12l_768d,fineweb,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.060117721557617,0.011033813201530738,3,4.061198870340983,0.0010811487833658855,0.0021016823903895684,0,,,4173.8980874512345,206.18132647302943,0.43085095209051477,76194.46330943653,complete
12l_768d,fineweb,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.061198870340983,0.01008701007007199,0,,,,0,,,4584.748009009015,1131.215755246556,0.484004419742095,70588.24597408826,complete
12l_768d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.237991333333333,0.006110379884535359,3,4.237481,-0.0005103333333336124,0.0028690598343943568,0,,,1371.570894988409,104.90322308177478,0.4228800381993983,77822.55891700047,complete
12l_768d,fineweb_edu,100000000,3050,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.237481,0.00864368046609798,0,,,,0,,,1971.54387423367,46.075224636359636,0.6285369421914883,52150.77017691225,complete
12l_768d,fineweb_edu,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,3.802445650100708,0.020587183386591105,3,3.8034822940826416,0.0010366439819335938,0.003205901246268948,0,,,3982.0959079174013,101.19631515399018,0.4096805699935087,80014.25106996331,complete
12l_768d,fineweb_edu,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,3.8034822940826416,0.018186296518228715,0,,,,0,,,4510.005051085318,840.9360776891796,0.4753590297382512,70683.18057055387,complete
18l_1024d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,c4_en,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dclm,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dolma_sample,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb_edu,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb_edu,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,0,0,0,0,,,0,,,,0,,,,,,,pending
