phase,dataset,method,method_label,activation,optimizer,rows,train_events,logged_forward_backward_seconds_mean,logged_forward_backward_seconds_std,logged_optimizer_step_seconds_mean,logged_optimizer_step_seconds_std,seconds_per_step_mean,tokens_per_second_mean,logged_forward_backward_fraction_of_recent_step,logged_optimizer_fraction_of_recent_step
E1_m0_100m,dclm,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,918,0.68440056,0.077370502,0.015191661,0.0019066121,0.70414228,46598.445,0.97196345,0.021574704
E1_m0_100m,dclm,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,918,0.69053792,0.079997014,0.02688853,0.00097727444,0.72211102,45466.979,0.95627667,0.037236005
E1_m0_100m,dclm,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,3,918,0.68539145,0.078395955,0.055687034,0.002093053,0.74549903,44011.735,0.91937269,0.074697661
E1_m0_100m,dclm,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,918,0.68924171,0.078449635,0.013488092,0.0001071584,0.70763517,46375.772,0.97400714,0.019060799
E1_m0_100m,dclm,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,918,0.65105734,0.068884273,0.090133491,0.010795042,0.71364013,46014.893,0.91230483,0.12630104
E1_m0_100m,dclm,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,918,0.68914731,0.07900497,0.04747928,0.0097684528,0.74100319,44308.877,0.93001935,0.064074326
E1_m0_100m,dclm,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,3,918,0.68799188,0.077319021,0.021206199,0.001103689,0.71342889,45989.543,0.96434541,0.029724334
E1_m0_100m,dclm,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,3,918,0.6937882,0.080058764,0.064284399,0.081211646,0.72682018,45213.039,0.95455275,0.088446084
E1_m0_100m,dclm,silu_adamw,SiLU+AdamW,silu,adamw,3,918,0.60934786,0.025912978,0.015208842,0.0019740403,0.62785954,52262.328,0.97051621,0.02422332
E1_m0_100m,dclm,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,918,0.61694771,0.033545823,0.025433782,0.00089500326,0.64594335,50842.141,0.95511117,0.039374632
