update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2454,643301376,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2455,643563520,False,False,gradient_surrogate,0.0,0.0,3.4420943999147047e-16,0.95,1.0,0.0
2456,643825664,False,False,gradient_surrogate,0.0,0.0,6.885124401738142e-16,0.95,1.0,0.0
2457,644087808,False,True,functional,0.0,0.0,5.160570375506275e-16,0.95,1.0,0.0
2458,644349952,False,False,gradient_surrogate,0.0,0.0,3.444486633030005e-16,0.95,1.0,0.0
2459,644612096,False,False,gradient_surrogate,0.0,0.0,6.885764231968395e-16,0.95,1.0,0.0
2460,644874240,False,False,gradient_surrogate,0.0,0.0,5.155928646366292e-16,0.95,1.0,0.0
2461,645136384,False,False,gradient_surrogate,0.0,0.0,8.607178210638016e-16,0.95,1.0,0.0
2462,645398528,False,False,gradient_surrogate,0.0,0.0,1.2057045312442256e-15,0.95,1.0,0.0
2463,645660672,False,False,gradient_surrogate,0.0,0.0,3.4380556615159327e-16,0.95,1.0,0.0
2464,645922816,False,False,gradient_surrogate,0.0,0.0,6.884420765131556e-16,0.95,1.0,0.0
2465,646184960,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2466,646447104,False,False,gradient_surrogate,0.0,0.0,3.4395120197511506e-16,0.95,1.0,0.0
2467,646709248,False,False,gradient_surrogate,0.0,0.0,3.441034367442923e-16,0.95,1.0,0.0
2468,646971392,False,False,gradient_surrogate,0.0,0.0,1.3769020339295633e-15,0.95,1.0,0.0
2469,647233536,False,False,gradient_surrogate,0.0,0.0,8.500782311298262e-16,0.95,1.0,0.0
2470,647495680,False,False,gradient_surrogate,0.0,0.0,5.143169287335885e-16,0.95,1.0,0.0
2471,647757824,False,False,gradient_surrogate,0.0,0.0,1.031829001623507e-15,0.95,1.0,0.0
2472,648019968,False,False,gradient_surrogate,0.0,0.0,6.879761817459653e-16,0.95,1.0,0.0
2473,648282112,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2474,648544256,False,False,gradient_surrogate,0.0,0.0,3.4365938465920317e-16,0.95,1.0,0.0
2475,648806400,False,False,gradient_surrogate,0.0,0.0,1.7213269987789854e-16,0.95,1.0,0.0
2476,649068544,False,False,gradient_surrogate,0.0,0.0,8.604783980497022e-16,0.95,1.0,0.0
