update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
101,26476544,6.843251705169678,6.71840238571167,-0.12484931945800781,0.0001515,4.548004910349846,4.681565757840872
102,26738688,6.873070240020752,6.743259429931641,-0.12981081008911133,0.000153,4.548328067176044,4.676794630475342
103,27000832,6.855668067932129,6.73455286026001,-0.12111520767211914,0.0001545,4.548163428902626,4.676682844758034
104,27262976,6.769647598266602,6.637054920196533,-0.13259267807006836,0.000156,4.550201363861561,4.677407952025533
105,27525120,6.847873687744141,6.731686592102051,-0.11618709564208984,0.0001575,4.5496732871979475,4.741099305450916
106,27787264,6.711208343505859,6.580921173095703,-0.13028717041015625,0.00015899999999999996,4.54785568267107,4.685275224037468
107,28049408,6.740348815917969,6.6277852058410645,-0.1125636100769043,0.00016049999999999997,4.551117873750627,4.690555398352444
108,28311552,6.7789411544799805,6.650490760803223,-0.1284503936767578,0.00016199999999999998,4.549542193301022,4.676886137574911
109,28573696,6.6772003173828125,6.56351900100708,-0.11368131637573242,0.0001635,4.54740515910089,4.675731038674712
110,28835840,6.744604110717773,6.6176581382751465,-0.12694597244262695,0.00016499999999999997,4.548772039823234,4.677250585518777
111,29097984,6.670526504516602,6.554412841796875,-0.11611366271972656,0.00016649999999999998,4.5500777922570705,4.678562136366963
112,29360128,6.592409610748291,6.476133823394775,-0.11627578735351562,0.000168,4.5485415775328875,4.676937674172223
113,29622272,6.594231128692627,6.4844231605529785,-0.10980796813964844,0.0001695,4.547476291656494,4.734723717905581
114,29884416,6.704109191894531,6.587804794311523,-0.11630439758300781,0.00017099999999999998,4.548943949863315,4.688568617217243
115,30146560,6.651031494140625,6.537656784057617,-0.11337471008300781,0.0001725,4.54744447953999,4.687411936931312
116,30408704,6.604184150695801,6.49150276184082,-0.11268138885498047,0.000174,4.55107806250453,4.687770863063633
117,30670848,6.516921043395996,6.4085283279418945,-0.10839271545410156,0.00017549999999999998,4.5507378205657005,4.685625046491623
118,30932992,6.586814880371094,6.480941295623779,-0.10587358474731445,0.00017699999999999997,4.548822094686329,4.678391259163618
119,31195136,6.521108150482178,6.418918609619141,-0.10218954086303711,0.00017849999999999997,4.550475874915719,4.677572454325855
120,31457280,6.559408187866211,6.461507797241211,-0.097900390625,0.00017999999999999998,4.5506345657631755,4.680913431569934
