update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
1500,393216000,3.3067703247070312,3.2922027111053467,-0.01456761360168457,3.4200670313835144,3.4030572414398192,3.3356205374002457,3.3200701773166656,-0.015550360083580017,28.095812317872934,27.66229175581019,-0.4335205620627427
1600,419430400,3.341447114944458,3.325188636779785,-0.01625847816467285,3.3924377942085266,3.3789947247505188,3.311526980251074,3.298802178353071,-0.012724801898002625,27.426973960448365,27.08018225738096,-0.34679170306740303
1700,445644800,3.244938850402832,3.2312464714050293,-0.013692378997802734,3.3174742388725282,3.3042245364189147,3.2915485613048077,3.2809616550803185,-0.010586906224489212,26.88446367764508,26.601341719022287,-0.2831219586227931
1800,471859200,3.3313870429992676,3.319657325744629,-0.011729717254638672,3.270678474903107,3.2582927775382995,3.268298737704754,3.256905149668455,-0.011393588036298752,26.266614908488187,25.969042347776238,-0.2975725607119486
1900,498073600,3.3543777465820312,3.342836618423462,-0.011541128158569336,3.2921310091018676,3.2805655717849733,3.2204623222351074,3.206997688859701,-0.013464633375406265,25.039693912991176,24.704803264047257,-0.33489064894391873
2000,524288000,3.3726470470428467,3.364971399307251,-0.007675647735595703,3.2930965566635133,3.281374230384827,3.1819619573652744,3.166733529418707,-0.015228427946567535,24.093978568893192,23.729844781890296,-0.36413378700289556
2100,550502400,3.3521780967712402,3.3450276851654053,-0.007150411605834961,3.2773205494880675,3.2671787261962892,3.1631548404693604,3.1536595039069653,-0.009495336562395096,23.64507482173029,23.421619449158126,-0.22345537257216463
2200,576716800,3.298267364501953,3.286966323852539,-0.011301040649414062,3.3056025910377502,3.2933674597740175,3.149079255759716,3.136012002825737,-0.013067252933979034,23.314587922660895,23.01191218234133,-0.30267574031956457
2300,602931200,3.253495693206787,3.246350049972534,-0.00714564323425293,3.285847682952881,3.2766068506240846,3.134364750236273,3.1259963400661945,-0.008368410170078278,22.97403695400877,22.78258298946382,-0.19145396454495156
2400,629145600,3.2641308307647705,3.253730535507202,-0.01040029525756836,3.260507571697235,3.251433048248291,3.132246922701597,3.1243789233267307,-0.007867999374866486,22.92543339111317,22.745763842347564,-0.17966954876560592
2500,655360000,3.262876033782959,3.2563257217407227,-0.006550312042236328,3.235083427429199,3.2267368698120116,3.12565228715539,3.113164819777012,-0.012487467378377914,22.77474592373059,22.49211536956988,-0.2826305541607077
2600,681574400,3.1840882301330566,3.175689697265625,-0.00839853286743164,3.1634502315521242,3.1554860877990722,3.12070082873106,3.111493706703186,-0.009207122027873993,22.662256439491497,22.454559889984104,-0.2076965495073928
2700,707788800,3.0789432525634766,3.06929349899292,-0.00964975357055664,3.1307964658737184,3.122890119552612,3.1155970245599747,3.106209632009268,-0.009387392550706863,22.54688738152456,22.336221248764755,-0.21066613275980473
2800,734003200,3.179433822631836,3.1755495071411133,-0.0038843154907226562,3.1432015347480773,3.13676456451416,3.0778397284448147,3.0693179592490196,-0.00852176919579506,21.71144907263899,21.527215228812185,-0.18423384382680652
2900,760217600,3.149258852005005,3.140573024749756,-0.008685827255249023,3.16340042591095,3.1569147539138793,3.051626704633236,3.043967466801405,-0.007659237831830978,21.14972080367389,20.988348843963063,-0.16137195971082718
3000,786432000,3.1537652015686035,3.1474545001983643,-0.006310701370239258,3.1405589056015013,3.135156307220459,3.0281436890363693,3.0193276293575764,-0.008816059678792953,20.658847727759248,20.477518572076153,-0.1813291556830947
3100,812646400,3.0938947200775146,3.086893081665039,-0.007001638412475586,3.1643715119361877,3.1588869953155516,3.016662023961544,3.00750545412302,-0.009156569838523865,20.423006274488248,20.236855144750333,-0.18615112973791526
3200,838860800,3.1898083686828613,3.185100793838501,-0.0047075748443603516,3.1528629994392396,3.147495324611664,3.0138857513666153,3.0060097835958004,-0.007875967770814896,20.36638507617113,20.206610100895315,-0.1597749752758162
3300,865075200,3.054074764251709,3.0465664863586426,-0.007508277893066406,3.1422024822235106,3.1369735646247863,3.0109668970108032,3.0044320449233055,-0.006534852087497711,20.307025237884723,20.17475448722399,-0.13227075066073368
