task,task_safe,method,gauge_log_scale,step,loss,train_ppl,path
Code,synthetic_code,RLB+AdamW,0.0,340,0.15119429528713227,1.1632226448048029,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,350,0.15018458366394044,1.1620487181434174,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,360,0.1475334048271179,1.1589719994423957,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,370,0.1462405204772949,1.1574745509049114,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,380,0.14541326463222504,1.1565174192681107,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,390,0.14370997697114946,1.1545492141036824,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,400,0.14254934340715408,1.1532099828632096,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,410,0.14123726934194564,1.1516978781665623,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,420,0.14452631026506424,1.155492095867145,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,430,0.16205195486545562,1.175921334568664,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
