task,source,run_name,label,method,activation,optimizer,seed,status,complete,stopped_early,stop_reason,steps,completed_steps,final_step,final_val_loss,final_val_ppl,best_val_step,best_val_loss,val_loss_auc_250,val_loss_auc_500,val_loss_auc_1000,val_loss_auc_full,train_diverged_step,eval_diverged_step,eval_points,eval_interval_configured,eval_interval_observed_min,eval_interval_observed_max,curve_density_ok,mean_seconds_per_step,tokens_per_second,mean_optimizer_step_seconds,mean_forward_backward_seconds,grad_clip_rate,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=2 gg=0.35,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.6476945877075195,104.3441517830183,1525,4.6476945877075195,7.166177178961206,6.340449427793882,5.6856338269001725,5.35415549071755,,,32,50,25,50,True,2.9263090994211542,11197.723441615157,0.20452027042795504,2.764964222643629,0.05194805194805195,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.35,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=2 gg=0.35,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.644585609436035,104.020251842202,1525,4.644585609436035,7.16639616403235,6.34046488630031,5.685693874015464,5.353610679859251,,,32,50,25,50,True,4.31494808650643,7594.065871260667,0.20395478644096837,4.114473566213923,0.05194805194805195,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.35,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=3 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.642742156982422,103.82867209205232,1525,4.642742156982422,7.158995595801787,6.337743322452706,5.683308132656582,5.350808011108809,,,32,50,25,50,True,3.0493671453228957,10745.836246796125,0.20346972968787644,2.927232042261718,0.045454545454545456,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.2,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=3 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.640575885772705,103.60399447314745,1525,4.640575885772705,7.158604468686514,6.337530161909207,5.683218114488237,5.350475025145713,,,32,50,25,50,True,4.4830029774599485,7309.386178138614,0.20172174179143357,4.371526557493497,0.03896103896103896,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.2,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=3 gg=0.35,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.641755104064941,103.72623826046843,1525,4.641755104064941,7.158511343730023,6.337590789986039,5.68332963710552,5.350867765312746,,,32,50,25,50,True,3.0959913626977236,10584.008855711816,0.20429730966729534,2.9883915706040254,0.045454545454545456,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.35,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=3 gg=0.35,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.640564918518066,103.60285822798924,1525,4.640564918518066,7.158634386866925,6.337854581271001,5.683491638592175,5.350665395654093,,,32,50,25,50,True,3.4232790594682325,9572.108913928312,0.2072859604224221,3.2948209534680046,0.03896103896103896,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.35,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=4 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.638530731201172,103.39232481258703,1525,4.638530731201172,7.158544499232587,6.339145110460943,5.685592686927116,5.351849849924953,,,32,50,25,50,True,4.868302127820521,6730.888745121871,0.20366288404480867,4.68885562964356,0.05194805194805195,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.2,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=4 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,running,False,False,,1525,,350,5.546152114868164,256.24963725674047,350,5.546152114868164,7.158874688857051,6.7379602313383264,6.7379602313383264,6.7379602313383264,,,8,50,49,50,True,,,0.20319406952896518,4.158873888445669,0.25,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.2,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as4.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=4 gg=0.35,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.638540267944336,103.39331084333566,1525,4.638540267944336,7.158488388521126,6.339069332054001,5.685591803656684,5.3518150060821394,,,32,50,25,50,True,4.9506857207650015,6618.881069860469,0.20259164479147648,4.819703380921976,0.05194805194805195,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.35,0.1,0.2
fineweb_edu,experiments/runs/iclr26_phase1_protocol_lock/fineweb_edu/fineweb_edu_adamw_lr0.0001_wd0.03_phase1_protocol_lock/silu.jsonl,fineweb_edu_adamw_lr0.0001_wd0.03_phase1_protocol_lock,SiLU+AdamW lr=0.0001 wd=0.03,SiLU+AdamW,silu,adamw,1337,running,False,False,,1525,,1,11.026683807373047,61493.31860803515,1,11.026683807373047,,,,,,,1,50,,,True,,,0.04218423720449209,1.5063289035926573,1.0,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
