task,method,label,activation,optimizer,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping,n,complete_n,running_n,stopped_n,diverged_n,curve_density_ok_n,eval_points_min,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_val_loss_auc_250,mean_val_loss_auc_500,mean_val_loss_auc_1000,mean_val_loss_auc_full,mean_seconds_per_step,sources
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=2 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.2,0.1,0.2,1,1,0,0,0,1,32,4.647768497467041,0.0,4.647768497467041,7.166248461328836,6.340510057781884,5.685683335389222,5.354206298749278,3.2424259198105574,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0001 wd=0.1,rlb_fused_fixed_strong_ffn,adamw,0.0001,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.077939033508301,0.0,5.077939033508301,7.594937039187634,6.741528174681272,6.0735460458933055,5.75361809173594,0.8859236398195112,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.078359603881836,0.0,5.078359603881836,7.5970616953439984,6.743295077092662,6.074599885129117,5.754447081583378,0.891858332811707,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0001 wd=0.2,rlb_fused_fixed_strong_ffn,adamw,0.0001,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.078014373779297,0.0,5.078014373779297,7.598369755419383,6.7443616605235,6.075093908949538,5.754648401981264,0.8948308760111869,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0001 wd=0.1,silu,adamw,0.0001,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.076859951019287,0.0,5.076859951019287,7.673606769148126,6.7844746117601415,6.092788400354089,5.765555251771071,0.7316113350640846,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock/silu.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0001 wd=0.03,silu,adamw,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.077362537384033,0.0,5.077362537384033,7.6755378121831805,6.785433826561204,6.093369696830009,5.766011171922909,0.7285794666966467,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock/silu.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0001 wd=0.2,silu,adamw,0.0001,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.0768327713012695,0.0,5.0768327713012695,7.675990298091168,6.785756823056207,6.093596628359011,5.766079301596314,0.7332831631926016,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock/silu.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=4 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.2,0.1,0.2,1,0,1,0,0,1,18,4.935619354248047,0.0,4.935619354248047,7.158874688857051,6.339411548717705,5.827774650216524,5.827774650216524,,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
fineweb_edu,SiLU+AdamW,SiLU+AdamW lr=0.0001 wd=0.03,silu,adamw,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,5.071485996246338,0.0,5.071485996246338,7.823262764268132,6.942445999634767,6.207653038017265,5.844844112558941,1.3937619758025808,experiments/runs/iclr26_phase1_protocol_lock/fineweb_edu/fineweb_edu_adamw_lr0.0001_wd0.03_phase1_protocol_lock/silu.jsonl
fineweb_edu,RLB+AdamW,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,2,8.832563400268555,0.0,8.832563400268555,9.949679374694824,9.949679374694824,9.949679374694824,9.949679374694824,,experiments/runs/iclr26_phase1_protocol_lock/fineweb_edu/fineweb_edu_adamw_lr0.0001_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
