task,run_name,label,activation,optimizer,seed,step,tokens,gpu_hours_approx,loss,lr,seconds_per_step,grad_clip_triggered,grad_global_norm_before_clip
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,400,13107200,0.39614920195567216,5.767536306381226,9.61758042152465e-05,0.8913357044002623,False,0.7845199704170227
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,410,13434880,0.40584047055120914,5.7495862483978275,9.578989255527101e-05,0.8908693256002153,False,0.8758547306060791
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,420,13762560,0.4158178299324936,5.6780843257904055,9.538667253940401e-05,0.8910382069982006,False,0.8678006529808044
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,430,14090240,0.42510436791764933,5.660105514526367,9.496637083539126e-05,0.8897533281997312,False,0.7353229522705078
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,440,14417920,0.4351228473286998,5.697293138504028,9.452922371334837e-05,0.8900240058996133,False,0.8808640241622925
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,450,14745600,0.44556939119866,5.644875478744507,9.40754769129431e-05,0.89113878239732,False,0.752752959728241
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,460,15073280,0.454427919924492,5.630360078811646,9.360538550525407e-05,0.889098104200093,False,0.8348221778869629
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,470,15400960,0.4652386674026558,5.599758958816528,9.311921374938421e-05,0.8908825546008302,False,0.7147400379180908
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,480,15728640,0.47456566847938425,5.5567670345306395,9.261723494390905e-05,0.8898106283988454,False,0.7067921757698059
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,490,16056320,0.4857286239939114,5.604711103439331,9.209973127324344e-05,0.892154615499021,False,0.7767304182052612
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,500,16384000,0.49600100477740244,5.57744722366333,9.156699364901338e-05,0.8928018085993245,False,0.7991186380386353
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,510,16711680,0.505056296808034,5.535968780517578,9.10193215465217e-05,0.8912758178965305,False,0.6923561096191406
