task,seed,method,step,loss,lr,seconds_per_step
fineweb,1337,SiLU+AdamW,1380,4.777913,0.000201,0.622395
fineweb,1337,SiLU+AdamW,1390,4.769140,0.000200,0.617877
fineweb,1337,SiLU+AdamW,1400,4.737261,0.000198,0.619968
fineweb,1337,SiLU+AdamW,1410,4.751524,0.000197,0.622882
fineweb,1337,SiLU+AdamW,1420,4.743505,0.000195,0.617996
fineweb,1337,SiLU+AdamW,1430,4.759266,0.000194,0.617910
fineweb,1337,SiLU+AdamW,1440,4.736274,0.000192,0.621801
fineweb,1337,SiLU+AdamW,1450,4.723699,0.000191,0.621943
fineweb,1337,SiLU+AdamW,1460,4.732415,0.000190,0.620399
fineweb,1337,SiLU+AdamW,1470,4.729872,0.000188,0.623888
fineweb,1337,SiLU+AdamW,1480,4.730835,0.000187,0.621568
fineweb,1337,SiLU+AdamW,1490,4.715365,0.000185,0.622388
fineweb,1337,SiLU+AdamW,1500,4.709002,0.000184,0.618451
fineweb,1337,SiLU+AdamW,1510,4.700587,0.000182,0.621646
fineweb,1337,SiLU+AdamW,1520,4.708802,0.000181,0.622413
fineweb,1337,SiLU+AdamW,1530,4.715115,0.000179,0.621416
fineweb,1337,SiLU+AdamW,1540,4.690724,0.000178,0.621514
fineweb,1337,SiLU+AdamW,1550,4.688983,0.000176,0.620581
fineweb,1337,SiLU+AdamW,1560,4.680402,0.000175,0.623307
fineweb,1337,SiLU+AdamW,1570,4.683859,0.000173,0.621718
fineweb,1337,SiLU+AdamW,1580,4.681115,0.000172,0.621797
fineweb,1337,SiLU+AdamW,1590,4.654717,0.000170,0.622358
fineweb,1337,SiLU+AdamW,1600,4.644584,0.000169,0.626102
fineweb,1337,SiLU+AdamW,1610,4.658153,0.000167,0.624305
fineweb,1337,SiLU+AdamW,1620,4.660805,0.000166,0.624927
fineweb,1337,SiLU+AdamW,1630,4.641008,0.000164,0.625385
fineweb,1337,SiLU+AdamW,1640,4.650490,0.000163,0.624172
fineweb,1337,SiLU+AdamW,1650,4.648872,0.000161,0.622948
fineweb,1337,SiLU+AdamW,1660,4.661156,0.000160,0.623003
fineweb,1337,SiLU+AdamW,1670,4.634313,0.000158,0.620518
fineweb,1337,SiLU+AdamW,1680,4.648232,0.000157,0.617555
fineweb,1337,SiLU+AdamW,1690,4.638646,0.000155,0.619493
fineweb,1337,SiLU+AdamW,1700,4.643646,0.000154,0.619413
fineweb,1337,SiLU+AdamW,1710,4.627987,0.000153,0.624014
fineweb,1337,SiLU+AdamW,1720,4.624133,0.000151,0.622136
fineweb,1337,SiLU+AdamW,1730,4.598948,0.000150,0.620489
fineweb,1337,SiLU+AdamW,1740,4.617401,0.000148,0.622884
fineweb,1337,SiLU+AdamW,1750,4.628173,0.000147,0.619080
fineweb,1337,SiLU+AdamW,1760,4.589690,0.000145,0.623460
fineweb,1337,SiLU+AdamW,1770,4.603047,0.000144,0.626121
fineweb,1337,SiLU+AdamW,1780,4.628382,0.000142,0.624193
fineweb,1337,SiLU+AdamW,1790,4.579882,0.000141,0.623936
fineweb,1337,SiLU+AdamW,1800,4.598062,0.000139,0.619567
fineweb,1337,SiLU+AdamW,1810,4.587949,0.000138,0.622191
fineweb,1337,SiLU+AdamW,1820,4.596090,0.000136,0.622022
fineweb,1337,SiLU+AdamW,1830,4.583031,0.000135,0.622517
fineweb,1337,SiLU+AdamW,1840,4.559881,0.000133,0.621042
fineweb,1337,SiLU+AdamW,1850,4.602466,0.000132,0.619739
fineweb,1337,SiLU+AdamW,1860,4.553847,0.000131,0.624583
fineweb,1337,SiLU+AdamW,1870,4.566679,0.000129,0.623193
fineweb,1337,SiLU+AdamW,1880,4.570444,0.000128,0.622304
fineweb,1337,SiLU+AdamW,1890,4.576059,0.000126,0.621020
fineweb,1337,SiLU+AdamW,1900,4.594410,0.000125,0.622991
fineweb,1337,SiLU+AdamW,1910,4.589407,0.000123,0.622840
fineweb,1337,SiLU+AdamW,1920,4.572465,0.000122,0.623027
fineweb,1337,SiLU+AdamW,1930,4.561817,0.000121,0.625848
fineweb,1337,SiLU+AdamW,1940,4.542354,0.000119,0.625914
fineweb,1337,SiLU+AdamW,1950,4.572420,0.000118,0.629735
fineweb,1337,SiLU+AdamW,1960,4.561170,0.000116,0.627074
fineweb,1337,SiLU+AdamW,1970,4.588761,0.000115,0.625401
fineweb,1337,SiLU+AdamW,1980,4.535385,0.000114,0.622390
fineweb,1337,SiLU+AdamW,1990,4.539964,0.000112,0.620699
