budget_tokens,dataset,seed,method,final_val_loss,final_val_ppl,total_minutes,mean_seconds_per_step,tokens_per_second,slurm_job_id,slurm_restart_count,slurm_node,jsonl
100000000,dclm,2027,full,4.258865,70.730,27.383,0.511790,64026.284,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dclm,2027,no_role_depth,4.273677,71.785,20.335,0.376038,87140.127,572244,0,abdelfattah-compute-03,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dclm,2027,role_depth_v2,4.258640,70.714,23.944,0.443879,73821.839,676424,0,rush-compute-02,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,dclm,2027,role_depth_v3,4.270991,71.593,20.293,0.374387,87524.438,707328,0,elor-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dclm/E1_matrixpolicy_ablation_role_depth_v3_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dclm,2027,role_depth_v4,4.262203,70.966,20.822,0.385693,84958.833,707587,0,elor-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dclm/E1_matrixpolicy_ablation_role_depth_v4_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,dclm,2027,role_depth_v5,4.258960,70.736,24.006,0.443954,73809.379,749315,0,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dclm/E1_matrixpolicy_ablation_role_depth_v5_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dclm,2027,role_depth_v6,4.263743,71.076,25.104,0.467279,70125.090,749330,1,damle-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dclm/E1_matrixpolicy_ablation_role_depth_v6_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,dclm,3407,full,4.255752,70.510,24.557,0.458714,71434.534,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dclm,3407,no_role_depth,4.265036,71.167,21.456,0.397170,82503.762,572245,0,seo-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dclm,3407,role_depth_v2,4.251755,70.229,20.815,0.385700,84957.218,676425,0,elor-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
