budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,hit_status,target_hit_minutes,total_minutes,mean_seconds_per_step,tokens_per_second,final_val_loss,slurm_job_id,slurm_restart_count,slurm_node
100000000,dclm,1337,role_depth_v2,4.55,1550,50790400,93.463,hit,13.197,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
100000000,dclm,1337,role_depth_v2,4.45,1850,60620800,84.241,hit,15.752,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
100000000,dclm,1337,role_depth_v2,4.35,2200,72089600,77.472,hit,18.732,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
100000000,dclm,1337,role_depth_v2,4.30,2500,81920000,73.648,hit,21.286,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
100000000,dclm,1337,role_depth_v3,4.90,950,31129600,131.173,hit,6.992,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v3,4.70,1250,40960000,108.455,hit,9.201,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v3,4.55,1550,50790400,93.795,hit,11.409,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v3,4.45,1850,60620800,84.949,hit,13.617,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v3,4.35,2300,75366400,76.760,hit,16.929,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v3,4.30,2600,85196800,73.422,hit,19.137,23.694,0.441631,74197.767,4.258096,707327,1,badfellow
100000000,dclm,1337,role_depth_v4,4.90,950,31129600,130.427,hit,7.707,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v4,4.70,1250,40960000,108.423,hit,10.141,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v4,4.55,1550,50790400,93.512,hit,12.575,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v4,4.45,1850,60620800,84.505,hit,15.009,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v4,4.35,2250,73728000,76.906,hit,18.254,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v4,4.30,2550,83558400,73.474,hit,20.688,25.968,0.486784,67315.241,4.250974,707586,0,nikola-compute-18
100000000,dclm,1337,role_depth_v5,4.90,950,31129600,131.004,hit,7.244,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v5,4.70,1250,40960000,107.487,hit,9.532,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v5,4.55,1550,50790400,93.158,hit,11.819,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v5,4.45,1800,58982400,85.540,hit,13.726,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v5,4.35,2250,73728000,76.801,hit,17.157,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v5,4.30,2550,83558400,73.275,hit,19.445,24.571,0.457526,71619.934,4.247953,763777,0,badfellow
100000000,dclm,1337,role_depth_v6,4.90,950,31129600,130.195,hit,6.730,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,1337,role_depth_v6,4.70,1250,40960000,107.610,hit,8.856,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,1337,role_depth_v6,4.55,1550,50790400,93.471,hit,10.981,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,1337,role_depth_v6,4.45,1800,58982400,85.544,hit,12.752,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,1337,role_depth_v6,4.35,2250,73728000,76.832,hit,15.940,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,1337,role_depth_v6,4.30,2550,83558400,73.352,hit,18.066,22.861,0.425076,77087.332,4.251457,749329,0,elor-compute-01
100000000,dclm,2027,full,4.90,900,29491200,131.886,hit,7.677,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,full,4.70,1200,39321600,108.857,hit,10.236,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,full,4.55,1550,50790400,93.300,hit,13.221,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,full,4.45,1850,60620800,84.482,hit,15.780,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,full,4.35,2250,73728000,77.228,hit,19.192,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,full,4.30,2600,85196800,73.432,hit,22.178,27.383,0.511790,64026.284,4.258865,,,
100000000,dclm,2027,no_role_depth,4.90,900,29491200,133.950,hit,5.641,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
100000000,dclm,2027,no_role_depth,4.70,1200,39321600,109.888,hit,7.521,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
100000000,dclm,2027,no_role_depth,4.55,1600,52428800,92.439,hit,10.028,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
