budget_tokens,dataset,seed,target_loss,comparator,full_tokens,comparator_tokens,full_saves_tokens,full_saves_percent_vs_comparator,full_total_minutes,comparator_total_minutes
100000000,dclm,3407,4.45,role_depth_v3,58982400,60620800,1638400,0.02702702702702703,24.557,24.324
100000000,dclm,3407,4.45,role_depth_v4,58982400,60620800,1638400,0.02702702702702703,24.557,21.515
100000000,dclm,3407,4.45,role_depth_v5,58982400,60620800,1638400,0.02702702702702703,24.557,21.172
100000000,dclm,3407,4.45,role_depth_v6,58982400,60620800,1638400,0.02702702702702703,24.557,22.838
100000000,dclm,3407,4.35,no_role_depth,73728000,75366400,1638400,0.021739130434782608,24.557,21.456
100000000,dclm,3407,4.35,role_depth_v2,73728000,73728000,0,0.0,24.557,20.815
100000000,dclm,3407,4.35,role_depth_v3,73728000,75366400,1638400,0.021739130434782608,24.557,24.324
100000000,dclm,3407,4.35,role_depth_v4,73728000,73728000,0,0.0,24.557,21.515
100000000,dclm,3407,4.35,role_depth_v5,73728000,73728000,0,0.0,24.557,21.172
100000000,dclm,3407,4.35,role_depth_v6,73728000,73728000,0,0.0,24.557,22.838
100000000,dclm,3407,4.30,no_role_depth,83558400,85196800,1638400,0.019230769230769232,24.557,21.456
100000000,dclm,3407,4.30,role_depth_v2,83558400,83558400,0,0.0,24.557,20.815
100000000,dclm,3407,4.30,role_depth_v3,83558400,86835200,3276800,0.03773584905660377,24.557,24.324
100000000,dclm,3407,4.30,role_depth_v4,83558400,83558400,0,0.0,24.557,21.515
100000000,dclm,3407,4.30,role_depth_v5,83558400,83558400,0,0.0,24.557,21.172
100000000,dclm,3407,4.30,role_depth_v6,83558400,85196800,1638400,0.019230769230769232,24.557,22.838
100000000,fineweb_edu,1337,4.80,no_role_depth,31129600,31129600,0,0.0,27.678,20.280
100000000,fineweb_edu,1337,4.80,role_depth_v2,31129600,31129600,0,0.0,27.678,20.881
100000000,fineweb_edu,1337,4.80,role_depth_v3,31129600,31129600,0,0.0,27.678,21.158
100000000,fineweb_edu,1337,4.80,role_depth_v4,31129600,31129600,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.80,role_depth_v5,31129600,31129600,0,0.0,27.678,24.928
100000000,fineweb_edu,1337,4.80,role_depth_v6,31129600,31129600,0,0.0,27.678,25.132
100000000,fineweb_edu,1337,4.60,no_role_depth,39321600,40960000,1638400,0.04,27.678,20.280
100000000,fineweb_edu,1337,4.60,role_depth_v2,39321600,39321600,0,0.0,27.678,20.881
100000000,fineweb_edu,1337,4.60,role_depth_v3,39321600,39321600,0,0.0,27.678,21.158
100000000,fineweb_edu,1337,4.60,role_depth_v4,39321600,39321600,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.60,role_depth_v5,39321600,39321600,0,0.0,27.678,24.928
100000000,fineweb_edu,1337,4.60,role_depth_v6,39321600,39321600,0,0.0,27.678,25.132
100000000,fineweb_edu,1337,4.40,no_role_depth,50790400,52428800,1638400,0.03125,27.678,20.280
100000000,fineweb_edu,1337,4.40,role_depth_v2,50790400,50790400,0,0.0,27.678,20.881
100000000,fineweb_edu,1337,4.40,role_depth_v3,50790400,50790400,0,0.0,27.678,21.158
100000000,fineweb_edu,1337,4.40,role_depth_v4,50790400,50790400,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.40,role_depth_v5,50790400,50790400,0,0.0,27.678,24.928
100000000,fineweb_edu,1337,4.40,role_depth_v6,50790400,50790400,0,0.0,27.678,25.132
100000000,fineweb_edu,1337,4.30,no_role_depth,60620800,62259200,1638400,0.02631578947368421,27.678,20.280
100000000,fineweb_edu,1337,4.30,role_depth_v2,60620800,58982400,-1638400,-0.027777777777777776,27.678,20.881
100000000,fineweb_edu,1337,4.30,role_depth_v3,60620800,60620800,0,0.0,27.678,21.158
100000000,fineweb_edu,1337,4.30,role_depth_v4,60620800,60620800,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.30,role_depth_v5,60620800,58982400,-1638400,-0.027777777777777776,27.678,24.928
100000000,fineweb_edu,1337,4.30,role_depth_v6,60620800,58982400,-1638400,-0.027777777777777776,27.678,25.132
100000000,fineweb_edu,1337,4.20,no_role_depth,72089600,73728000,1638400,0.022222222222222223,27.678,20.280
100000000,fineweb_edu,1337,4.20,role_depth_v2,72089600,72089600,0,0.0,27.678,20.881
100000000,fineweb_edu,1337,4.20,role_depth_v3,72089600,73728000,1638400,0.022222222222222223,27.678,21.158
