scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_came,SiLU+CAME,silu,adafactor_came,3,0,3050,100000000,1597.155636689645,244.0302626258722,1315.4238840189646,1742.624091658974,26.619260611494084,0.4436543435249014,0.5050623729445316,66084.6771593806
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,3050,100000000,1609.4320758493461,12.97049324279977,1600.3112504429882,1624.2804233740317,26.823867930822434,0.44706446551370727,0.4994140447289431,65615.79053580153
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,3050,100000000,1503.421084690354,241.57245953155933,1224.5004101350205,1645.9952914780006,25.057018078172568,0.4176169679695428,0.4748608829647549,70447.50338119685
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,3050,100000000,1503.7864212706918,25.21064442782427,1476.7213011180284,1526.6026253410382,25.063107021178197,0.41771845035296995,0.46574928586595027,70369.24536902294
E1_m0_100m_all_datasets,E1_rational_only_100m,fineweb,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3050,100000000,1454.8620871136275,187.00525712373877,1346.1093129509827,1670.795249898918,24.247701451893793,0.4041283575315632,0.4506299578676869,73500.25892640668
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_adamw,SiLU+AdamW,silu,adamw,3,0,3050,100000000,1458.2871343457955,318.95709010683805,1090.211067337019,1653.444160652347,24.304785572429925,0.40507975954049874,0.46069863943684364,74033.59793552135
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,3050,100000000,1474.14521254537,26.361352479322036,1445.891460966086,1498.0810151780024,24.569086875756167,0.4094847812626028,0.45605740032481723,71866.47611175946
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_muon,SiLU+Muon,silu,muon,3,0,3050,100000000,1571.125687061615,315.2284441245295,1207.5971767159645,1768.8348037758842,26.185428117693583,0.4364238019615597,0.49708462870528397,68183.82599613618
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,3050,100000000,1578.0623049449641,24.963837672581693,1549.2397940909723,1592.8481833779952,26.301038415749403,0.43835064026249004,0.4878590866979533,67175.61729281317
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_lion,SiLU+Lion,silu,lion,3,0,3050,100000000,1450.8903513121186,318.0042606884069,1083.9727395409718,1646.811478213407,24.181505855201976,0.40302509758669963,0.4583290357244128,74437.14863240578
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,3050,100000000,1476.0259934507,17.562555073653947,1461.396255485015,1495.503157283063,24.600433224178335,0.4100072204029722,0.4566363437495923,71766.06023463611
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,3050,100000000,1695.061039964261,317.9355816354048,1328.2582556480193,1891.6844642367214,28.251017332737682,0.4708502888789614,0.537228907828834,62793.5102206203
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,3050,100000000,1508.6693472090021,7.78450457899381,1500.1386797779705,1515.3881063719746,25.144489120150034,0.41907481866916724,0.4671251106721165,70149.43035229122
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,3050,100000000,1486.0749136482289,318.7176323545607,1118.2353431059746,1680.0677784467116,24.767915227470482,0.412798587124508,0.46937336499624865,72556.70437528484
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,3050,100000000,269.83135948562995,79.24689313682299,221.26825370790903,361.27903954999056,4.497189324760499,0.07495315541267498,0.4675710305797299,70101.03778291745
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_came,SiLU+CAME,silu,adafactor_came,3,0,3050,100000000,1561.548222132551,317.671920841431,1195.1965519879595,1760.7018426517025,26.025803702209185,0.4337633950368197,0.4944149567571163,68575.84869803191
