scope,method,method_label,activation,optimizer,runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E2_m0_300m_dclm,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,9150,300000000,6475.809381582004,728.0356583598383,6048.849053882994,7316.437517422019,107.93015635970006,1.7988359393283344,0.5200505480097075,63823.37740224528
E2_m0_300m_dclm,silu_came,SiLU+CAME,silu,adafactor_came,3,9150,300000000,4811.813177780675,701.1869332408738,4002.432503027958,5234.950949948048,80.19688629634457,1.336614771605743,0.5084900036664839,65528.992763513066
E2_m0_300m_dclm,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,3,9150,300000000,5401.729138119667,637.2717043356878,5031.705460504047,6137.5831354899565,90.02881896866113,1.500480316144352,0.5603515456235864,59034.632287947425
E2_m0_300m_dclm,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,9150,300000000,4131.28010502737,715.5497636196744,3694.9076742610196,4957.081157677108,68.85466841712284,1.1475778069520473,0.43427540669891546,76941.00761248884
E2_m0_300m_dclm,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,3,9150,300000000,4695.27080305099,8.433980173523937,4685.937349268002,4702.345226336969,78.25451338418317,1.304241889736386,0.48346154343767717,67778.07396099633
E2_m0_300m_fineweb_edu,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,9150,300000000,5478.927315462303,636.835212927551,4743.783122449997,5861.70960705902,91.31545525770505,1.5219242542950842,0.5712981004011285,57960.28686917878
E2_m0_300m_fineweb_edu,silu_adamw,SiLU+AdamW,silu,adamw,3,9150,300000000,4510.005051085318,840.9360776891796,3685.3220271519967,5366.302551058005,75.16675085142197,1.2527791808570328,0.4753590297382512,70683.18057055387
E2_m0_300m_fineweb_edu,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,9150,300000000,6037.974146223317,508.2831777500939,5741.195616401965,6624.876429140917,100.63290243705528,1.677215040617588,0.6303801935335768,52246.76168917363
E2_m0_300m_fineweb_edu,silu_muon,SiLU+Muon,silu,muon,3,9150,300000000,4367.642514802002,773.4839420708465,3829.926972479996,5254.095546065015,72.7940419133667,1.213234031889445,0.45853850633196713,72920.36506967242
E2_m0_300m_fineweb_edu,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,9150,300000000,6173.266156139628,188.00758220281776,6063.7194104829105,6390.355528958025,102.88776926899381,1.71479615448323,0.6429053027282238,51008.99952920872
E2_m0_300m_fineweb_edu,silu_lion,SiLU+Lion,silu,lion,3,9150,300000000,4467.183848329005,689.9003406989606,3670.5557523129974,4865.985312970937,74.45306413881674,1.2408844023136125,0.47093125241710254,70922.98621982607
E2_m0_300m_fineweb_edu,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,9150,300000000,5473.6888374600485,759.2895562683372,4620.493608337012,6075.112239620066,91.22814729100081,1.5204691215166801,0.5685081520614796,58526.80719964663
E2_m0_300m_fineweb_edu,silu_soap,SiLU+SOAP,silu,soap_adamw,3,9150,300000000,5206.485059135982,720.8913830016061,4374.089522717986,5627.440904636984,86.7747509855997,1.446245849759995,0.5474789864575659,60685.2486171686
E2_m0_300m_fineweb_edu,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,3,9150,300000000,5609.735624324356,756.3476063459425,4756.0436993080075,6196.172546779038,93.49559373873926,1.5582598956456544,0.5832472344901584,56995.383796057606
E2_m0_300m_fineweb_edu,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,9150,300000000,5309.269116561986,641.8569950183715,4588.0777606480115,5817.826523253927,88.48781860936644,1.474796976822774,0.476246726470933,70175.39499567906
E2_m0_300m_fineweb_edu,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,9150,300000000,6493.276761880687,849.7330071358756,5927.059262008988,7470.355605225079,108.22127936467813,1.803687989411302,0.5355812469575538,62475.80502388351
E2_m0_300m_fineweb_edu,silu_came,SiLU+CAME,silu,adafactor_came,3,9150,300000000,4811.744305209654,702.5527892231291,4000.5073699310014,5218.545048185973,80.19573842016091,1.336595640336015,0.5079443825591416,65602.63822597038
