scope,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E2_m0_300m_dolma_sample,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,9150,300000000,3908.0189192834464,347.8773847336703,3706.2565629640594,4309.711730343988,65.13364865472411,1.0855608109120685,0.40254462412376035,81843.56499019233
E2_m0_300m_dolma_sample,silu_muon,SiLU+Muon,silu,muon,3,0,9150,300000000,4677.653335210052,1261.8565822607457,3852.9584162321407,6130.284771387,77.96088892016753,1.299348148669459,0.49372128971716744,69498.07835771308
E2_m0_300m_dolma_sample,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,9150,300000000,4408.642372990842,352.079144153038,4002.5662702405825,4628.602978218929,73.4773728831807,1.224622881386345,0.4562485927773352,72159.82128500787
E2_m0_300m_dolma_sample,silu_lion,SiLU+Lion,silu,lion,3,0,9150,300000000,3767.7718070780393,310.6251211238548,3508.175605005119,4111.918513837038,62.796196784633985,1.0466032797438998,0.39422327979544697,83530.07891502201
E2_m0_300m_dolma_sample,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,9150,300000000,3886.11443904927,337.1947679445505,3690.610350817442,4275.472253242973,64.7685739841545,1.0794762330692416,0.4001835071285723,82306.98593219226
E2_m0_300m_dolma_sample,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,9150,300000000,4776.960104897308,709.6975151437064,4290.2150609989185,5591.279217764968,79.61600174828847,1.3269333624714745,0.5025041131606408,66102.19246802594
E2_m0_300m_dolma_sample,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,9150,300000000,4210.308907472257,345.02019203718606,3812.141507189721,4421.053393503069,70.17181512453762,1.1695302520756268,0.43512959887985386,75686.59436690995
E2_m0_300m_dolma_sample,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,9150,300000000,4784.29063204769,750.3265781552781,4253.4133556170855,5642.702256083954,79.73817720079484,1.3289696200132473,0.4278550836104495,78310.34713504872
E2_m0_300m_dolma_sample,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,9150,300000000,322.48642299013835,151.4011338622272,230.23888607975096,497.2185009950772,5.374773716502306,0.08957956194170509,0.41344942817652275,79606.00997542839
E2_m0_300m_dolma_sample,silu_came,SiLU+CAME,silu,adafactor_came,3,0,9150,300000000,3934.5941360729944,140.52013838182518,3822.5038125520005,4092.240128639969,65.57656893454991,1.0929428155758318,0.41162467770744693,79665.96929799313
